1	0.000001
2	0.000000
3	0.000001
4	0.000001
5	0.000001
6	0.000001
7	0.000002
8	0.000002
9	0.000003
10	0.000004
11	0.000005
12	0.000008
13	0.000008
14	0.000010
15	0.000013
16	0.000021
17	0.000022
18	0.000021
19	0.000027
20	0.000031
21	0.000034
22	0.000040
23	0.000050
24	0.000059
25	0.000060
26	0.000064
27	0.000069
28	0.000098
29	0.000085
30	0.000098
31	0.000113
32	0.000120
33	0.000136
34	0.000144
35	0.000167
36	0.000169
37	0.000195
38	0.000215
39	0.000230
40	0.000237
41	0.000268
42	0.000299
43	0.000304
44	0.000327
45	0.000341
46	0.000359
47	0.000373
48	0.000415
49	0.000443
50	0.000475
51	0.000475
52	0.000529
53	0.000551
54	0.000598
55	0.000611
56	0.000640
57	0.000720
58	0.000711
59	0.000763
60	0.000776
61	0.000822
62	0.000866
63	0.000912
64	0.000947
65	0.000974
66	0.001082
67	0.001129
68	0.001140
69	0.001175
70	0.001228
71	0.001276
72	0.001327
73	0.001392
74	0.001482
75	0.001553
76	0.001630
77	0.001662
78	0.001645
79	0.001751
80	0.001841
81	0.001902
82	0.002029
83	0.002269
84	0.002546
85	0.002543
86	0.002518
87	0.002646
88	0.002661
89	0.002919
90	0.003004
91	0.002898
92	0.002807
93	0.002968
94	0.003008
95	0.003240
96	0.003343
97	0.003490
98	0.003480
99	0.003594
100	0.003567
101	0.003747
102	0.003824
103	0.003934

